sample_id,text,label_raw,label_resiko_hoaks,intensitas_emosi,kecurigaan_format,kredibilitas_rendah
43,"Mandi Saat Sakit Demam Tidak Boleh Sembarangan, Begini Amannya https://hellosehat.com/hidup-sehat/tips-sehat/aturan-mandi-saat-sakit-demam/",hoax,100,0.3,0.1,0.1
44,Lagu Indonesia Raya sudah diganti dengan lagu Mars Perindo....,hoax,100,0.9,0.8,1.0
45,"Ada lagi obat covid dr grup keluarga: ""Labu Kuning""",hoax,100,0.5,0.7,0.9
46,"VIDEO: Aneh, Kambing Melahirkan Mahluk Setengah Babi http://dlvr.it/QrpkyL",hoax,100,0.7,0.7,0.9
47,[HOAKS] Akun BLT Banpres UMKM Mengatasnamakan KemenkopUKM,hoax,100,0.4,0.15,0.1
48,Biji nya jangan d telen ntar usus buntu bep,hoax,100,0.3,0.3,0.9
49,"Kesimpulannya , bahwa munculnya keyakinan di masyarakat muslim Turki bahwa Mustafa Kemal mati terkena azab adalah bentuk penalaran yang didasari oleh akal sehat dan keimanan kepada yang ghaib",hoax,100,0.75,0.6,0.8
50,"Beredar narasi yang menyebutkan mata jenazah pasien Covid-19 diambil tanpa sepengetahuan keluarga. Benarkah?
",hoax,100,0.9,0.7,0.95
51,"Ampuh Turunkan Kolesterol, Ini 6 Manfaat Jeruk Nipis Campur Serai #JerukNipis via 
@jpnncom",valid,0,0.4,0.1,0.6
52,Ada peraturan motor 2 tak gaboleh lagi pake pertalite. Trus vespa saya minumnya apa? Minum pertamax aja batuk2 dia,valid,0,0.4,0.6,0.75
53,Telapak Tangan Berkeringat Tanda Lemah Jantung?: Telapak tangan yang berkeringat bisa disebabkan apabila ia cemas. http://bit.ly/1sstIwM,valid,0,0.35,0.3,0.25
54,"Vertigo Bukan Penyakit Turunan, Kapanpun Vertigo dapat Terjadi
",valid,0,0.1,0.1,0.3
55,"Manfaat Olahraga Pagi, Tingkatkan Fokus hingga Bakar Lemak",valid,0,0.1,0.0,0.0
56,"Gerakan Minum Jus Seledri, Tidak Berbahaya tapi Bisa Menyesatkan https://ift.tt/2ljgxUq",valid,0,0.3,0.1,0.1
57,"Dalam istilah Kedokteran, istilah penyakit panas dalam tidak pernah ada. Kondisi ini diartikan sebagai serangkaian gejala yang menyerang mulut, tenggorokan, dan sistem pencernaan. Sebutan 'panas dalam' diduga muncul karena gejalanya yang sebabkan timbul rasa panas di dalam tubuh",valid,0,0.1,0.1,0.1
58,"3. Mitos: ""mengonsumsi timun bisa menyebabkan keputihan."" Fakta: Salah. Tidak ada kandungan dari ketimun yang bisa menyebabkan keputihan.",valid,0,0.1,0.1,0.1
59,"2.Hingga kini 
@BPOM_RI
 tdk pernah menerima laporan kredibel yg mendukung klaim bahwa virus Machupo ditemukan dlm obat Parasetamol",valid,0,0.2,0.1,0.1
60,Sering menggunakan masker bisa memicu timbulnya jerawat. Untuk itu berikut cara mencegah jerawat karena sering memakai masker. #CegahJerawat,valid,0,0.2,0.1,0.1
61,"Memar dan Mimisan Bisa Jadi Ciri Kanker Darah, Penyakit yang Renggut Nyawa Ani Yudhoyono,Cek di Sini",valid,0,0.75,0.65,0.8
62,"Berita dicabut nya subsidi Gas 3Kg masih sekedar berita Hoax, belum ada perintah/keputusan jelas dari pemerintah soal hal itu.

Dan tarif dasar listrik 900 VA jg batal naik, jangan selalu sebar berita lama yang kunjung jadi berita Hoax, 

UPDATE INFORMASI ITU PENTING!
",valid,0,0.5,0.6,0.6
63,"Skizofrenia Serupa Kepribadian Ganda hanya Mitos http://bit.ly/2chrMnj
 #infoWCC",valid,0,0.2,0.1,0.05
64,"Data IDAI memperlihatkan, hingga 18 mei, hampir enam ratus anak positif Corona. Dan lebih dari 3.300 anak dalam status pasien dalam pengawasan. Karena itu, ikatan dokter anak Indonesia membantah, bahwa anak ebih kebal terhadap paparan virus Covid-19. https://youtu.be/eWMv-8F0IFw",valid,0,0.65,0.25,0.15
65,"Hai 
@farah_anna
 Smiling face with smiling eyes. Makan Mie+Coklat bersamaan memicu keracunan krg tepat. Mie instan yg beredar sdh teruji aman dan tdk mengandung arsenik",valid,0,0.1,0.1,0.1
66,"Halo #SahabatBPOM pernah mendengar berita yang mengatakan kandungan merkuri pada kosmetik bisa terdeteksi dengan menggosokkan cincin emas?

H.O.A.X atau F.A.K.T.A Tanda tanya tanda seru

Yuk! Simak infografis berikut!

Jangan lupa dilike dan share biar makin banyak yang imphoo! Wajah dengan sebelah mata mengedip",valid,0,0.35,0.3,0.1
67,Ternyata garam bisa mengobati sakit gigi #Fakta,valid,0,0.35,0.65,0.75
68,"[SALAH] Dana haji dipakai oleh pemerintah Jokowi untuk membangun infrastruktur ""Kepala Badan Pengelola Keuangan Haji (BPKH) Anggito Abimanyu mengatakan, tak ada dana haji yang digunakan ... Selengkapnya di bagian PENJELASAN dan REFERENSI""",valid,0,0.6,0.1,0.1
69,"RT 
@VIVA_log
: Manfaat Labu Siam untuk Kesehatan dan Kecantikan http://dlvr.it/B6Q7Wd",valid,0,0.0,0.1,0.1
70,"1. Cumi hewan laut. Dan hukum asal hewan laut itu HALAL. Baik hidup atau mati (bangkai), baik kulit, daging, ataupun darahnya

Jadi apa yg terkandung dlm hewan laut, semuanya HALAL. Termasuk tinta cumi.Kilauan cahaya",valid,0,0.3,0.2,0.5
71,Salah satu penyakit dampak es mencair berasal bangkai rusa dari 80 tahun lalu yang tetap terkunci di lapisan es. #kumparanSAINS,valid,0,0.5,0.2,0.35
72,"Hati"" mitosnya foto bertiga yang tengah mati duluan",valid,0,0.5,0.4,0.9
73,Di masyarakat daun kelor dipercaya sebagai sarana melunturkan jimat atau susuk. Namun daun kelor juga bermanfaat untuk kesehatan lho. Apa saja ya?,valid,0,0.2,0.4,0.5
74,"Kombinasi 2 buah ini,Buah Bit dan Semangka punya manfaat yang sangat baik untuk menjaga kesehatan pembuluh darah kita
.
Buah bit dikupas lalu di blender dengan daging semangka, kasih garam dikit yaaa, kl kurang manis bisa tambah madu atau kurma secukupnya
.
Silakan cobaaa",valid,0,0.35,0.5,0.65
75,"Jangan terlalu sering makan mie instan! Di usia 20 tahun, wanita ini mengidap tumor payudara dan harus jalani operasi pengangkatan tumor.",valid,0,0.8,0.7,0.9
76,"Teh Hijau Bisa Cegah Kanker, Benarkah? http://de.tk/60bwvb via 
@detikfood",valid,0,0.4,0.1,0.4
77,"Temulawak, dari Penambah Nafsu Makan Hingga Obat Maag >> http://goo.gl/TsRFxS via @liputan6dotcom",valid,0,0.15,0.1,0.1
78,Malam kretekus dan seluruh masyarakat Indonesia... Masih ada aja loh yg hembusin isu bahwa filter rokok mengandung darah babi. Padahal sudah jelas isu tersebut adalah HOAX. Dilihat ya infografik di bawah ini... Biar cerdas dan gak kemakan isu HOAX ,valid,0,0.55,0.4,0.6
79,"[SEUTAS INFO] Di bulan puasa, penggunaan siwak pun kemudian dianjurkan, baik sebagai alat yang bisa menjaga kesehatan dan kebersihan gigi, maupun sebagai sarana mendekatkan diri pada sunnah nabi.

Berikut 9 kandungan dalam KAYU SIWAK yg bermanfaat untuk kesehatan gigi dan mulut.",valid,0,0.3,0.5,0.7
80,"VIRAL 

Pasien dengan diabetes tipe 2 dapat mengontrol kadar gula darah dengan kayu manis.",valid,0,0.6,0.8,0.8
81,Selebgram TikTok Juy Putri divonis bersalah atas pelanggaran PPKM level 4 dan diganjar kurungan penjara 20 hari atau denda Rp12 juta Baca selengkapnya di https://buff.ly/3iWHffv,valid,0,0.5,0.2,0.15
82,[VIDEO] Tanya Dokter: Benarkah Oatmeal Baik Untuk Jantung? http://dlvr.it/RlwJFf #vlix,valid,0,0.1,0.15,0.1
83,Kacang Mete/Cashew Nut mrpk kacang yg rendah kolestrol shg relatif aman unt di konsumsi dan kacang ini ramah thd jantung loh :),valid,0,0.2,0.5,0.6
84,"[SALAH] Lensa Kontak Meleleh Karena Barbeque

Daur ulang hoaks yang sebelumnya beredar pada 2006. Melihat atau berada di dekat api tidak akan membuat lensa kontak meleleh, karena titik lelehnya tinggi (diatas 121 derajat ...

Selengkapnya di http://bit.ly/2ZqwI5h
 #LawanHoax",valid,0,0.1,0.0,0.0
85,Makan manis membuat gigi berlubang,valid,0,0.15,0.05,0.05
86,"Fakta Baru Siti Zainah yang Mengaku Hamil karena Angin: Dihamili Pria dan Belum Resmi Menjanda https://indopolitika.com/fakta-baru-siti-zainah-yang-mengaku-hamil-karena-angin-dihamili-pria-dan-belum-resmi-menjanda/ via 
@Indopolitika",valid,0,0.6,0.2,0.2
87,"Ada beberapa kandungan dalam skincare yang sangat berbahaya bagi ibu hamil seperti retinol. #IbuHamil
",valid,0,0.5,0.2,0.5
88,Direktur Utama Bio Farma Honesti Basyir membantah harga vaksin Sinovac yang dijual ke Indonesia lebih mahal daripada yang dipasarkan ke Brasil. #TempoBisnis,valid,0,0.15,0.05,0.08
89,"[SALAH] “MAHASISWA bisa minta BANTUAN ke KODAM jika ingin di dampingi saat gelar UNJUK RASA” Pelintiran daur ulang. Kapuspen TNI: pengawalan demonstrasi kewenangan Polri, TNI membantu jika memang tenaga polisi tidak cukup. Selengkapnya di https://bit.ly/2YLE0yu #LawanHoax",valid,0,0.25,0.1,0.1
90,"19.Kumis Kucing
Manfaat kumis kucing antara lain mengobati penyakit ginjal, diabetes, asam urat dan hipertensi. Untuk mendapatkan manfaat ini, kamu bisa merebus 4-5 lembar daun kumis kucing dan maminum air rebusannya setiap hari.
*PeTa
#IndonesiaBerdoa
#IndonesiaBerdoa",valid,0,0.5,0.6,0.85
91,"""Secara umum vertigo bukan diagnosis penyakit tetapi adalah gejala dari suatu penyakit."" #kumparanNews",valid,0,0.1,0.1,0.1
92,"Vaksin Moderna merupakan vaksin dengan platform mRNA yang punya KIPI lebih terasa dibanding Sinovac maupun AstraZeneca. Namun, hal ini bukan berarti berbahaya dan harus ditakuti",valid,0,0.35,0.15,0.1
93,"Kumur air garam biasanya dijadikan obat rumahan untuk meredakan sakit gigi. Tapi, ramuan kuno ini juga bisa mengatasi sakit tenggorokan dan peradangan. Ini manfaat lainnya:

via 
@detikHealth",valid,0,0.15,0.1,0.1
94,Salah satu manfaat kayu manis adlh  untuk menurunkan berat badan. Penelitian dari University of Michigan Life Sciences Institute menemukan bahwa kayu manis mengandung zat yang disebut dengan Cinnamaldehyde. Zat ini berguna untuk membantu pembakaran lemak yg menumpuk di dlm tubuh.,valid,0,0.2,0.5,0.6
95,Banyak yang percaya kalau pasta gigi bisa hilangkan komedo. Benarkah efektif atau justru berbahaya?,valid,0,0.35,0.1,0.15
96,"""Habis makan daging kambing suka pusing identiknya dengan tekanan darah naik. Jadi orang takut makan daging kambing. Jadi sebenarnya itu mitos. Mengonsumsi daging kambing tidak menyebabkan tekanan darah naik,"" kata dia dalam program Hidup Sehat tvOne, Kamis, 30 Juli 2020.",valid,0,0.3,0.1,0.1
97,"Manfaat penting buah naga bagi kesehatan tubuh:
1. Mencegah Kanker  
2. Bagus untuk Jantung
3. Mencegah Diabetes

Buah yang mudah dimanfaatkan buat apa saja; langsung dimakan atau sebagai campur dengan buah lain. Mantap!",valid,0,0.35,0.5,0.75
98,"Hai #SobatLitbang, seperti yang kita tahu, Covid-19 dapat menyebar melalui percikan droplet saat bersin, batuk, maupun berbicara. Nah, memakai masker adalah salah satu cara yang paling efektif untuk menahan penyebaran droplet tersebut. Namun, tidak semua jenis masker aman dipakai",valid,0,0.35,0.15,0.1
99,[HOAKS] Makanan Tradisional akan Dikenakan Pajak 12 Persen,valid,0,0.7,0.8,0.9
100,Ohhh oke. Beneran baru tau ternyata ktp bukan indikator legal age. Kirain selama ini ya 17 taun krn dah boleh nyetir dan dapet ktp brarti dah legal. Walaupun tetep bukan brarti dianggep dewasa sih krn ya gmn”kedewasaan orang gabisa diliat dr umur. Makasih infonya Wajah tersenyum dengan mata tersenyum,valid,0,0.0,0.0,0.1
