sample_id,text,label_raw,label_resiko_hoaks
15,Tanda kekuasaan yang sebentar lagi akan jatuh. Sebelum pulau Kalimantan dijadikan jaminan hutang RI ke Cina. Untuk itulah si pinokio dipelihara dua periode.,hoax,100
16,"Menulislah sepuasmu untuk terakhir kali, Facebook akan ditutup tanggal 24 april 2018 mulai dari jam 00:00 dan akan dibuka lagi pada tanggal yang sama jam 00:00000001 ttd. Mak suryani",hoax,100
17,"dan gak jarang air garam sering di percaya bisa menyembuhkan sakit gigi RT @ben_andz Dibaca tweeps > RT 
@fitriasiska_23
 air garam bisa dija",hoax,100
18,"Hati Ayam Bisa Berbahaya untuk Bayi dan Ibu Hamil: Benarkah hati ayam menyimpan banyak racun tubuh? Parents, s... http://bit.ly/12FqhJg",hoax,100
19,sikatan..sikatan..--->>Pasta Gigi Bisa Hilangkan Komedo - http://jagoannews.com/blog/2012/06/06/pasta-gigi-bisa-hilangkan-komedo/,hoax,100
20, TODAY'S HEADLINE: Waspada! 1 September Asteroid Florence Akan Tabrak Bumi,hoax,100
21,"AKU CINTA INDONESIA 
AKU PATUHI PROKES

Ayo vaksin biar segera kita lepas masker",hoax,100
22,Alhamdullilah Jackie Chan masuk Islam Smiling face with smiling eyes kita telah menerima saudara baru Revolving hearts,hoax,100
23,"Abu Janda Demo 
@aniesbaswedan
 itu bukan karena banjir tapi karena iri sama ini,  
@aniesbaswedan
 dinobatkan sebagai  Gubernur terbaik didunia 
Ya Maklum aja deh",hoax,100
24,such a bold action coming from bem ui Flushed face,hoax,100
25,"Pria Berbaju Kostrad Sebut Vaksin Covid-19 Mengandung Magnet, Dokter Bongkar Komposisinya",hoax,100
26,Mata Anak Ini Mendadak Juling Akibat Main Game di Ponsel 10 Jam Tiap Hari http://dlvr.it/RBbNS7,hoax,100
27,"JNCK nggilani pajak sembako sampe 12%, pajak makanan fastfood aja 10%",hoax,100
28,"W baca artikel lengkapnya, di akhir malah ngomongin ibu hamil tidak boleh makan durian. Apaan coba https://jakarta.tribunnews.com/2020/02/21/kpai-ingatkan-wanita-berenang-di-kolam-bareng-laki-laki-bisa-hamil-begini-penjelasannya",hoax,100
29,Ternyata Oreo berbahaya bagi kesehatan http://bit.ly/yUMIQg,hoax,100
30,[CEK FAKTA] Vaksin COVID-19 Berbahaya bagi Ibu Menyusui,hoax,100
31,Seumur2 gk pernah denger aki meledak kl tabung gas 3kg sih sering Kl ngarang itu coba yg cerdas dong... Biar bangsa kita bisa tambah cerdas,hoax,100
32,"*BIAYA tilang terbaru di indonesia*: *KAPOLRI BARU MANTAB* Sebagai berikut : 1. Tidak ada STNK Rp. 50, 000 2. Tdk bawa SIM Rp. 25,000 3. Tdk pakai Helm Rp. 25,000 4. Penumpang tdk Helm Rp. 10,000 5. Tdk pake sabuk Rp. 20,000 6. Melanggar lampu lalin - Mobil Rp. 20,000",hoax,100
33,WowTangan melipat Diam-Diam David Beckham Ke Wamena-Papua - Potret Anak Melanesia,hoax,100
34,"Ya, mereka kebal pasti..
Wong makan pakai saus sambal yg produksinya dari cabai dan tomat busuk aja masih pada sehat wkwkw",hoax,100
35,"Lagu Indonesia Raya sudah diganti lagu presiden, di hari peringatan",hoax,100
36,"Ini Penyebab Uang Koin Bisa Menempel di Lengan, Bukan Karena Vaksin Covid-19 Mengandung Magnet https://tribunnews.com/nasional/2021/05/28/ini-penyebab-uang-koin-bisa-menempel-di-lenganbukan-karena-vaksin-covid-19-mengandung-magnet… via @tribunnews",hoax,100
37,Pesawat merah putih mengitari Hambalang,hoax,100
38,"Fenomena sampah plastik lainnya datang dari seorang penyelam Inggris, Rich Horner, yang melakukan penyelaman dan merekam kondisi laut di dekat Nusa Penida, Bali, yang dipenuhi oleh sampah plastik.",hoax,100
39,Uang Kertas di Seluruh Dunia Mengandung Racun Berbahaya: Penyimpanan struk belanja bersamaan dengan... http://dlvr.it/hlmNY #Hazard_Bahaya,hoax,100
40,"Hakim yang Tolak Banding HRS,
potong hukuman Djoko Tjandra & Pinangki.
Semoga KEZHAKIMAN cepat TUMBANG, Aamiin YRA
#BebaskanHRS",hoax,100
41,"Masker yang bagus untuk muka kusam. Apaya kira kira? — Teh hijau bagus,innisfree yg sheet mask",hoax,100
42,"sempat ada kasus indomie asli Indo selundupan kena razia di Taiwan kan, gak lolos uji BPOMnya sana",hoax,100
43,"Mandi Saat Sakit Demam Tidak Boleh Sembarangan, Begini Amannya https://hellosehat.com/hidup-sehat/tips-sehat/aturan-mandi-saat-sakit-demam/",hoax,100
44,Lagu Indonesia Raya sudah diganti dengan lagu Mars Perindo....,hoax,100
45,"Ada lagi obat covid dr grup keluarga: ""Labu Kuning""",hoax,100
46,"VIDEO: Aneh, Kambing Melahirkan Mahluk Setengah Babi http://dlvr.it/QrpkyL",hoax,100
47,[HOAKS] Akun BLT Banpres UMKM Mengatasnamakan KemenkopUKM,hoax,100
48,Biji nya jangan d telen ntar usus buntu bep,hoax,100
49,"Kesimpulannya , bahwa munculnya keyakinan di masyarakat muslim Turki bahwa Mustafa Kemal mati terkena azab adalah bentuk penalaran yang didasari oleh akal sehat dan keimanan kepada yang ghaib",hoax,100
50,"Beredar narasi yang menyebutkan mata jenazah pasien Covid-19 diambil tanpa sepengetahuan keluarga. Benarkah?
",hoax,100
51,nungguin yg komen gempa tadi azab gara gara dwp~,hoax,100
52,Ayo dorong Fadlizon sesuai ucapannya untuk mundur dari DPR.,hoax,100
53,"Nyemilin kerupuk mana bisa bikin gemuk , ampun deh danis",hoax,100
54,"Jangan hanya termakan mitos, jika akhirnya menyesatkan ya, Moms!",hoax,100
55,"Itu karena dulu waktu jaman penjajah ad yg ber slogan, bawasannya laser infrared untuk mengukur suhu badan tidak bagus kalo disodorkan di kening, katanya dapat merusak jaringan saraf otak. Mungkin disini ada yg pernah mendengar?",hoax,100
56,Anak Ini Meninggal Karena Makan Sayur Kangkung Mengandung Lintah: Anak Ini Meninggal Karena Makan Sayur Kangku... http://bit.ly/1179hX2,hoax,100
57,"“Semua aktifitas HP dll….terpantau 100% Mulai besok dan seterusnya ada peraturan komunikasi baru. Setelah dilantiknya Badan Siber Sandi Nasional (BSSN), oleh Bpk Jokowi, Presiden NKRI: .Semua panggilan dicatat. .Semua rekaman panggilan telepon tersimpan. ",hoax,100
58,"Dua hari berturut-turut di grup keluarga dishare kalau covid bisa dicegah dengan kayu putih dan banyak tidur. Kemaren di twitter dibilang kopi yg punya potensi. Cocok lah ini, rebahan terus pake kayu putih mumpung winter, sambil minum kopi. Langkah mantep mencegah Covid-19 ",hoax,100
59,Konsumsi Minyak Kelapa Bisa Cegah Penyakit Jantung http://ift.tt/2Deq466,hoax,100
60,#GayaGADIS Good news! Pasta gigi bisa hilangkan komedo! http://ow.ly/Y9ba5 (Foto: Fotosearch),hoax,100
61,Apakah hari ini Anda menerima pesan berantai yang menyebut kondisi Covid-19 di Surabaya masuk zona merah merah/hitam?Di pesan itu juga disebut sejumlah rumah sakit penuh pasien dan rencana razia masker dengan denda 250 ribu. Berikut #CekFakta kami. (hm),hoax,100
62,ir Tajin Juga Bermanfaat Untuk Orang Dewasa Lho http://lucudanunik.com/air-tajin-juga-bermanfaat-untuk-orang-dewasa-lho/,hoax,100
63,"Jasad Ulama Thoriqoh Tiba tiba Hilang saat Akan Dimakamkan, Lombok, NTB ... https://youtu.be/bKeKn22o-VI via 
@YouTube",hoax,100
64,"Sejauh ini vaksin tidak terbukti berbahaya bagi bayi yang menyusui. ibu tak perlu berhenti menyusui setelah menerima vaksin Covid-19. WHO pun tidak merekomendasikan ibu berhenti menyusui setelah divaksin.

#PejuangkASIh
#ObatmodernAsliIndonesia
#VaksinIbuHamilDanmenyusui",hoax,100
65,Kembali lagi dikabarkan seorang pesepeda meninggal karena menggunakan masker. Seorang lelaki berasal dari Bekasi dikabarkan meninggal dunia akibat kekurangan oksigen karena mengenakan masker saat berkeliling menggunakan sepedanya.,hoax,100
66,"Jenis hoax:
1. Narasi hoax misal: minum air dingin usai makan picu kanker
#DanoneBloggerAcademy",hoax,100
67,Knp banyak penjahat pejabat dan ahli mungkar benci Habib Rizieq? Takut kepentinganya dihancurkan Hrs.Jangan pernah lelah bersama dg ahlul haq meski banyak yg ingin mencelakakanya .Hrs Cucu Baginda Rasulullah garis keturunan yg ke 38...Allahumma shali 'ala Muhammad...,hoax,100
68,10 Khasiat Daun Pepaya Yang Bermanfaat Bagi Kesehatan http://goo.gl/fb/oLqPUL,hoax,100
69,Vaksin Covid-19 Berbahaya bagi Ibu Menyusui? Ini Faktanya,hoax,100
70,"Tajil: puding coklat. Lanjut makan berat: soup, kakap fillet, steak, hati ayam, & sayuran. Hasil akhir: KENYANG PARAH! Dampak: NGANTUK! -_-""",hoax,100
71,"Petua Sakit GigiWajah tersenyum dengan mulut terbuka dan mata bahagia

Air Garam merupakan salah satu petua lama untuk meredakan sakit gigi. Caranya ialah masukan... http://fb.me/P9dKRe5p",hoax,100
72,"KPK menyatakan akan mencatat setiap kesaksian dan fakta yang muncul dalam sidang kasus korupsi ekspor benih lobster. Termasuk, munculnya nama Menteri Pertahanan Prabowo Subianto",hoax,100
73,Inikah pimpinan yg dibanggakan kadroons? Tdk punya harga diri ,hoax,100
74,"Cb olahraha banyak ke olah nafas, berenang ,lari bleh but hati hati tuk jantung dan paru, minum air hangat dan stop es dulu Krn memperlemah jantung dan ginjal",hoax,100
75,"Saos ini berbahaya, begitupun yang sejenisnya yang dijual murah tapi banyak dipasaran, warning apalagi untuk anak2. http://fb.me/5dPnqKfM6",hoax,100
76,"Ampuh Turunkan Kolesterol, Ini 6 Manfaat Jeruk Nipis Campur Serai #JerukNipis via 
@jpnncom",valid,0
77,Ada peraturan motor 2 tak gaboleh lagi pake pertalite. Trus vespa saya minumnya apa? Minum pertamax aja batuk2 dia,valid,0
78,Telapak Tangan Berkeringat Tanda Lemah Jantung?: Telapak tangan yang berkeringat bisa disebabkan apabila ia cemas. http://bit.ly/1sstIwM,valid,0
79,"Vertigo Bukan Penyakit Turunan, Kapanpun Vertigo dapat Terjadi
",valid,0
80,"Manfaat Olahraga Pagi, Tingkatkan Fokus hingga Bakar Lemak",valid,0
81,"Gerakan Minum Jus Seledri, Tidak Berbahaya tapi Bisa Menyesatkan https://ift.tt/2ljgxUq",valid,0
82,"Dalam istilah Kedokteran, istilah penyakit panas dalam tidak pernah ada. Kondisi ini diartikan sebagai serangkaian gejala yang menyerang mulut, tenggorokan, dan sistem pencernaan. Sebutan 'panas dalam' diduga muncul karena gejalanya yang sebabkan timbul rasa panas di dalam tubuh",valid,0
83,"3. Mitos: ""mengonsumsi timun bisa menyebabkan keputihan."" Fakta: Salah. Tidak ada kandungan dari ketimun yang bisa menyebabkan keputihan.",valid,0
84,"2.Hingga kini 
@BPOM_RI
 tdk pernah menerima laporan kredibel yg mendukung klaim bahwa virus Machupo ditemukan dlm obat Parasetamol",valid,0
85,Sering menggunakan masker bisa memicu timbulnya jerawat. Untuk itu berikut cara mencegah jerawat karena sering memakai masker. #CegahJerawat,valid,0
86,"Memar dan Mimisan Bisa Jadi Ciri Kanker Darah, Penyakit yang Renggut Nyawa Ani Yudhoyono,Cek di Sini",valid,0
87,"Berita dicabut nya subsidi Gas 3Kg masih sekedar berita Hoax, belum ada perintah/keputusan jelas dari pemerintah soal hal itu.

Dan tarif dasar listrik 900 VA jg batal naik, jangan selalu sebar berita lama yang kunjung jadi berita Hoax, 

UPDATE INFORMASI ITU PENTING!
",valid,0
88,"Skizofrenia Serupa Kepribadian Ganda hanya Mitos http://bit.ly/2chrMnj
 #infoWCC",valid,0
89,"Data IDAI memperlihatkan, hingga 18 mei, hampir enam ratus anak positif Corona. Dan lebih dari 3.300 anak dalam status pasien dalam pengawasan. Karena itu, ikatan dokter anak Indonesia membantah, bahwa anak ebih kebal terhadap paparan virus Covid-19. https://youtu.be/eWMv-8F0IFw",valid,0
90,"Hai 
@farah_anna
 Smiling face with smiling eyes. Makan Mie+Coklat bersamaan memicu keracunan krg tepat. Mie instan yg beredar sdh teruji aman dan tdk mengandung arsenik",valid,0
91,"Halo #SahabatBPOM pernah mendengar berita yang mengatakan kandungan merkuri pada kosmetik bisa terdeteksi dengan menggosokkan cincin emas?

H.O.A.X atau F.A.K.T.A Tanda tanya tanda seru

Yuk! Simak infografis berikut!

Jangan lupa dilike dan share biar makin banyak yang imphoo! Wajah dengan sebelah mata mengedip",valid,0
92,Ternyata garam bisa mengobati sakit gigi #Fakta,valid,0
93,"[SALAH] Dana haji dipakai oleh pemerintah Jokowi untuk membangun infrastruktur ""Kepala Badan Pengelola Keuangan Haji (BPKH) Anggito Abimanyu mengatakan, tak ada dana haji yang digunakan ... Selengkapnya di bagian PENJELASAN dan REFERENSI""",valid,0
94,"RT 
@VIVA_log
: Manfaat Labu Siam untuk Kesehatan dan Kecantikan http://dlvr.it/B6Q7Wd",valid,0
95,"1. Cumi hewan laut. Dan hukum asal hewan laut itu HALAL. Baik hidup atau mati (bangkai), baik kulit, daging, ataupun darahnya

Jadi apa yg terkandung dlm hewan laut, semuanya HALAL. Termasuk tinta cumi.Kilauan cahaya",valid,0
96,Salah satu penyakit dampak es mencair berasal bangkai rusa dari 80 tahun lalu yang tetap terkunci di lapisan es. #kumparanSAINS,valid,0
97,"Hati"" mitosnya foto bertiga yang tengah mati duluan",valid,0
98,Di masyarakat daun kelor dipercaya sebagai sarana melunturkan jimat atau susuk. Namun daun kelor juga bermanfaat untuk kesehatan lho. Apa saja ya?,valid,0
99,"Kombinasi 2 buah ini,Buah Bit dan Semangka punya manfaat yang sangat baik untuk menjaga kesehatan pembuluh darah kita
.
Buah bit dikupas lalu di blender dengan daging semangka, kasih garam dikit yaaa, kl kurang manis bisa tambah madu atau kurma secukupnya
.
Silakan cobaaa",valid,0
100,"Jangan terlalu sering makan mie instan! Di usia 20 tahun, wanita ini mengidap tumor payudara dan harus jalani operasi pengangkatan tumor.",valid,0
101,"Teh Hijau Bisa Cegah Kanker, Benarkah? http://de.tk/60bwvb via 
@detikfood",valid,0
102,"Temulawak, dari Penambah Nafsu Makan Hingga Obat Maag >> http://goo.gl/TsRFxS via @liputan6dotcom",valid,0
103,Malam kretekus dan seluruh masyarakat Indonesia... Masih ada aja loh yg hembusin isu bahwa filter rokok mengandung darah babi. Padahal sudah jelas isu tersebut adalah HOAX. Dilihat ya infografik di bawah ini... Biar cerdas dan gak kemakan isu HOAX ,valid,0
104,"[SEUTAS INFO] Di bulan puasa, penggunaan siwak pun kemudian dianjurkan, baik sebagai alat yang bisa menjaga kesehatan dan kebersihan gigi, maupun sebagai sarana mendekatkan diri pada sunnah nabi.

Berikut 9 kandungan dalam KAYU SIWAK yg bermanfaat untuk kesehatan gigi dan mulut.",valid,0
105,"VIRAL 

Pasien dengan diabetes tipe 2 dapat mengontrol kadar gula darah dengan kayu manis.",valid,0
106,Selebgram TikTok Juy Putri divonis bersalah atas pelanggaran PPKM level 4 dan diganjar kurungan penjara 20 hari atau denda Rp12 juta Baca selengkapnya di https://buff.ly/3iWHffv,valid,0
107,[VIDEO] Tanya Dokter: Benarkah Oatmeal Baik Untuk Jantung? http://dlvr.it/RlwJFf #vlix,valid,0
108,Kacang Mete/Cashew Nut mrpk kacang yg rendah kolestrol shg relatif aman unt di konsumsi dan kacang ini ramah thd jantung loh :),valid,0
109,"[SALAH] Lensa Kontak Meleleh Karena Barbeque

Daur ulang hoaks yang sebelumnya beredar pada 2006. Melihat atau berada di dekat api tidak akan membuat lensa kontak meleleh, karena titik lelehnya tinggi (diatas 121 derajat ...

Selengkapnya di http://bit.ly/2ZqwI5h
 #LawanHoax",valid,0
110,Makan manis membuat gigi berlubang,valid,0
111,"Fakta Baru Siti Zainah yang Mengaku Hamil karena Angin: Dihamili Pria dan Belum Resmi Menjanda https://indopolitika.com/fakta-baru-siti-zainah-yang-mengaku-hamil-karena-angin-dihamili-pria-dan-belum-resmi-menjanda/ via 
@Indopolitika",valid,0
112,"Ada beberapa kandungan dalam skincare yang sangat berbahaya bagi ibu hamil seperti retinol. #IbuHamil
",valid,0
113,Direktur Utama Bio Farma Honesti Basyir membantah harga vaksin Sinovac yang dijual ke Indonesia lebih mahal daripada yang dipasarkan ke Brasil. #TempoBisnis,valid,0
114,"[SALAH] “MAHASISWA bisa minta BANTUAN ke KODAM jika ingin di dampingi saat gelar UNJUK RASA” Pelintiran daur ulang. Kapuspen TNI: pengawalan demonstrasi kewenangan Polri, TNI membantu jika memang tenaga polisi tidak cukup. Selengkapnya di https://bit.ly/2YLE0yu #LawanHoax",valid,0
115,"19.Kumis Kucing
Manfaat kumis kucing antara lain mengobati penyakit ginjal, diabetes, asam urat dan hipertensi. Untuk mendapatkan manfaat ini, kamu bisa merebus 4-5 lembar daun kumis kucing dan maminum air rebusannya setiap hari.
*PeTa
#IndonesiaBerdoa
#IndonesiaBerdoa",valid,0
116,"""Secara umum vertigo bukan diagnosis penyakit tetapi adalah gejala dari suatu penyakit."" #kumparanNews",valid,0
117,"Vaksin Moderna merupakan vaksin dengan platform mRNA yang punya KIPI lebih terasa dibanding Sinovac maupun AstraZeneca. Namun, hal ini bukan berarti berbahaya dan harus ditakuti",valid,0
118,"Kumur air garam biasanya dijadikan obat rumahan untuk meredakan sakit gigi. Tapi, ramuan kuno ini juga bisa mengatasi sakit tenggorokan dan peradangan. Ini manfaat lainnya:

via 
@detikHealth",valid,0
119,Salah satu manfaat kayu manis adlh  untuk menurunkan berat badan. Penelitian dari University of Michigan Life Sciences Institute menemukan bahwa kayu manis mengandung zat yang disebut dengan Cinnamaldehyde. Zat ini berguna untuk membantu pembakaran lemak yg menumpuk di dlm tubuh.,valid,0
120,Banyak yang percaya kalau pasta gigi bisa hilangkan komedo. Benarkah efektif atau justru berbahaya?,valid,0
121,"""Habis makan daging kambing suka pusing identiknya dengan tekanan darah naik. Jadi orang takut makan daging kambing. Jadi sebenarnya itu mitos. Mengonsumsi daging kambing tidak menyebabkan tekanan darah naik,"" kata dia dalam program Hidup Sehat tvOne, Kamis, 30 Juli 2020.",valid,0
122,"Manfaat penting buah naga bagi kesehatan tubuh:
1. Mencegah Kanker  
2. Bagus untuk Jantung
3. Mencegah Diabetes

Buah yang mudah dimanfaatkan buat apa saja; langsung dimakan atau sebagai campur dengan buah lain. Mantap!",valid,0
123,"Hai #SobatLitbang, seperti yang kita tahu, Covid-19 dapat menyebar melalui percikan droplet saat bersin, batuk, maupun berbicara. Nah, memakai masker adalah salah satu cara yang paling efektif untuk menahan penyebaran droplet tersebut. Namun, tidak semua jenis masker aman dipakai",valid,0
124,[HOAKS] Makanan Tradisional akan Dikenakan Pajak 12 Persen,valid,0
125,Ohhh oke. Beneran baru tau ternyata ktp bukan indikator legal age. Kirain selama ini ya 17 taun krn dah boleh nyetir dan dapet ktp brarti dah legal. Walaupun tetep bukan brarti dianggep dewasa sih krn ya gmn”kedewasaan orang gabisa diliat dr umur. Makasih infonya Wajah tersenyum dengan mata tersenyum,valid,0
126,"Menteri Agama, Yaqut meminta agar Badan Pengelola Keuangan Haji (BPKH) menginvestasikan dana haji untuk membiayai pembangunan di Indonesia.",valid,0
127,Henry Cavill Pemeran Superman Meninggal? Ternyata Cuma Hoax https://goo.gl/fb/k4tVxr,valid,0
128,Bayam mengandung zat besi yang baik untuk tulang. #IngatSehat ,valid,0
129,"Masjid Koutobia menjadi yang pertama menggunakan panel surya di Maroko, panel surya ini dimanfaatkan untuk pemanas air juga lho dan juga berhasil menurunkan tagihan listrik hingga 80%
",valid,0
130,"kopi bisa menyebabkan kanker? Jelas Mitos! Faktanya, sejumlah penelitian mengungkapkan bahwa nggak ada kaitannya antara kanker dengan kopi. Yang ada justru sebaliknya, kopi punya kandungan antioksidan yang mampu memerangi kanker dan memperlambat proses penuaan.",valid,0
131,"7 Manfaat Bunga Pepaya untuk Kesehatan, Lawan Radikal Bebas hingga Atasi Diabetes",valid,0
132,"Trus jg pernah dgr, kalo d foto akan memperpendek umur. Bukanny pendek umur, panjang umur it kan cuma Allah yg tau. Hmm.. masi blm paham.",valid,0
133,"Yaah ampun mata udah itam kyak mata panda efek tidur larut malam mulu -,-",valid,0
134,Mengonsumsi nasi 3 kali sehari umumnya menjadi kebiasaan orang Indonesia. Tapi benar nggak sih kebiasaan ini memicu seseorang mengidap diabetes?,valid,0
135,"Mengunyah Bawang Putih Mentah Bisa Sembuhkan Batuk? Ternyata, Faktanya untuk Mencegah Flu http://okz.me/CYx05",valid,0
136,"IPW: Sudah Saatnya Kapolri Keluarkan Perintah Tembak Harun Masiku

""Polri hrs bisa bersikap lbh tegas lg, yakni memerintahkan kpd seluruh anggotanya utk melakukan tembak di tmpt, hidup/ mati, agar Harun keluar dr persembunyiannya,""

Serem amat usulannyaFace with open mouth",valid,0
137,"Ini dia mitos-mitos seputar Menstruasi. Yuk, simak ulasannya!

#MHD2018
#MenstruasiBukanTabu",valid,0
138,Isu dana haji dipakai infrastruktur bikin geger masyarakat. Pemerintah menepis isu itu dan memastikan dana haji 2021 aman.,valid,0
139,Pulau Bali Diisukan Dijual ke WNA http://republika.co.id/r/n0vuea,valid,0
140,"Ketua Technical Advisory Group on Immunization (ITAGI), Sri Rezeki Hadinegoro mengatakan, lubang jarum suntik yg digunakan utk vaksin sangat kecil sehingga tdk mungkin bisa dilewati partikel magnetik. Jadi berita bahwa vaksin Covid-19 mengandung magnet itu hoaks. #StayFitForLife",valid,0
141,"Dari Bir untuk Bayi hingga Rokok untuk Ibu Hamil, 8 Hal yang Sangat Berbahaya Ini Dulu Dianggap Wajar",valid,0
142,"Anggapan bahwa mengonsumsi gula batu lebih sehat dari pada gula pasir ternyata salah, Sahabat. Gula batu dibuat dari proses pengkristalan gula pasir, itu artinya komposisi gula batu sama dengan gula pasir.",valid,0
143,Manfaat Kapulaga Bisa Mengusir Bau Mulut Lho: Kapulaga dikenal sebagai rempah pemberi aroma sedap pada masaka... http://bit.ly/2eJWydF,valid,0
144,"Mental Health Myth: Pasien Skizofrenia Memiliki Kepribadian Ganda

The answer is FALSE 
Check out… https://instagram.com/p/7eRwB3KOjM/
",valid,0
145,Penganut konspirasi bilang: pemakaian masker menyebabkan hipoksia dan merusak paru. Bagaimana dengan dokter yang hampir sepanjang waktu pakai masker? Apakah masker lebih berbahaya ketimbang Covid-19 itu sendiri? Ada-ada saja. Konspiratif tapi enggak paham AD/ART. Eh... ,valid,0
146,Manfaat Buah Mangga untuk Kesehatan Jantung hingga Pencernaan,valid,0
147,"HOAX BUSTER : Minum air/teh panas dengan lemon dapat membunuh coronavirus secara total] Air lemon yang terbukti mengandung antioksidan mampu mengurangi batuk, namum BELUM TERBUKTI dapat mencegAh atau membunuh covid-19. ",valid,0
148,Efek Radiasi Sinar Ultra Violet Dapat Merusak Lensa Mata http://brt.st/5YT0,valid,0
149,"[SALAH] Virus Corona Adalah Sejenis “Jamur Atau Mould”

Penyebab wabah COVID-19 adalah SARS-Cov-2 yang menurut WHO adalah masuk keluarga virus, BUKAN jamur.

Selengkapnya di https://bit.ly/2wnTX2H
 #CoronavirusFacts",valid,0
150,Jahe yang diseduh dengan air hangat ternyata punya banyak manfaat. Mulai dari mengatasi berbagai gejala Covid-19 hingga redakan nyeri haid.,valid,0
